20210504_Corbeil,Olink NPX Manager 2.2.3.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel,Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022)
1-033,2.04491,2.36898,3.38119,1.05566,0.21506,6.36524,4.73686,2.25625,2.89906,1.49593,3.14117,2.26919,0.10109,5.04881,1.19249,3.97977,1.42113,-0.39532,0.17368,5.31875,1.75307,1.54282,3.5064,1.69567,4.2922,1.94324,-0.6186,2.09281,1.86365,2.67244,1.17709,3.21673,2.84169,8.37343,8.59443,3.51035,2.08672,-0.06009,1.57256,-0.78578,3.17835,2.15741,4.17826,0.58082,5.35602,-1.23013,3.82686,1.35946,1.38148,5.03761,0.85865,2.46067,3.93761,-0.04261,3.00785,3.06194,3.3508,1.52735,0.96083,6.52316,1.79921,3.99832,1.90355,6.3267,4.09823,5.92789,0.7746,0.39146,3.54035,8.34263,2.22236,2.65834,0.69406,3.77077,3.0757,1.26541,0.2515,3.21707,2.78181,4.21509,2.81529,2.5869,2.58109,1.64939,0.50236,3.16718,0.93103,2.62231,0.32601,2.38721,3.37264,3.17684,5.87083,13.55534,10.89429,2.9569,2.28281,2.42302,6.22898,3.16646,10.79967,7.63184,10.20411,2.23423,3.38755,12.84362,1.17719,7.94156,2.12394,8.40852,0.69348,6.43044,6.6568,0.27652,-0.9587,6.26543,0.04599,10.76875,1.35933,6.87574,6.16416,10.01316,8.27778,2.1317,4.3271,15.96745,8.63083,5.92559,1.36797,0.65922,1.20911,14.96219,4.13831,7.98481,10.1936,1.09097,6.27349,1.50712,9.34516,5.19941,-0.0816,13.42852,5.28135,9.10319,6.77467,0.14824,1.14176,0.45262,9.67079,1.48811,2.76471,10.81787,6.32498,5.67209,8.72616,9.48779,9.54281,6.82238,0.29584,2.19523,2.07824,8.90773,6.42078,11.83393,0.42685,5.99027,10.76396,-0.52643,-0.27868,0.00992,10.79395,3.173,6.49066,4.52346,7.08586,2.19052,9.24464,7.34319,3.68732,3.86224,0.38979,5.3113,5.47766,10.27182,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-063,3.05898,2.17567,3.65341,1.21098,1.5284,5.90893,6.06519,1.99414,2.87185,1.92036,2.76573,4.54601,0.66973,4.96027,1.44584,4.04902,1.13548,-0.10065,0.38785,5.61962,1.64894,1.67009,4.42901,1.7674,3.7029,2.05201,0.21327,2.5485,2.47831,2.63486,0.63031,2.14464,1.61852,8.66629,8.28606,3.19215,3.31173,0.94346,2.57104,0.78295,3.15058,1.95046,4.03692,0.82744,2.06174,-0.82566,3.93482,1.89208,0.85869,5.09956,1.3833,3.36098,4.68999,0.21819,3.3303,2.81069,2.26981,0.97555,2.02669,5.68251,2.90852,4.98708,1.57987,6.01643,0.80862,5.11181,0.78009,1.44756,4.10495,8.0891,2.7054,2.83034,0.67294,3.00545,2.86901,1.43715,0.73876,3.10214,2.72644,4.26629,3.47915,2.77518,3.52036,1.75706,1.83623,3.31514,0.49546,2.57851,0.83239,2.48291,3.34051,2.72773,6.40625,12.3227,9.1071,2.4002,1.29319,2.19268,6.29857,2.69582,10.6132,7.30818,9.98155,4.64589,2.21464,12.93345,1.14011,7.864,2.93477,8.45882,1.14353,6.77718,6.37246,0.2084,-0.69102,6.84773,0.56866,9.6333,-0.30844,10.01533,6.14619,9.90799,8.66388,2.35521,5.16246,15.4477,8.318,6.4581,1.53627,1.26851,1.2182,15.39258,3.89733,5.07593,10.19572,1.10753,6.12546,1.67451,8.90965,5.23648,-0.11328,13.35678,4.56796,9.1063,6.89275,0.57324,0.91241,0.11606,9.58364,1.53754,2.16174,10.45471,5.96299,9.08397,9.24037,9.6739,9.62319,6.81391,0.25026,2.80803,1.83505,8.71837,7.27527,11.4252,0.50107,6.43141,8.27126,-0.33474,-0.31395,0.08782,9.2397,3.86595,6.74397,3.71055,6.57598,1.07918,9.33958,6.79454,2.63538,3.92534,0.1063,5.63278,4.95188,9.88456,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-020,2.55193,2.98556,2.69967,0.9829,0.76843,7.30341,5.34174,2.04041,4.01762,1.63349,2.88756,3.33018,0.42213,3.78378,1.40861,4.20596,1.83548,-0.12575,2.53674,5.11494,2.33845,1.73472,4.25832,1.69012,4.5751,2.03359,0.18561,2.3188,2.38099,2.91683,1.56672,3.28428,3.04972,9.1559,8.45281,2.93568,2.43615,0.03731,1.93324,-0.43663,3.3082,2.32128,3.91044,0.69624,3.19409,-1.26226,3.76416,1.95279,0.53628,5.38723,0.41637,3.1099,3.60728,0.51208,4.98644,3.11285,2.50016,1.27565,1.15496,6.20316,2.32385,3.92128,1.89804,6.39953,0.70694,5.16185,1.11574,0.84703,3.92491,7.93519,4.00246,2.56704,1.18461,3.47836,2.81006,0.88112,0.50514,3.68912,3.3598,3.92564,3.63527,3.30774,3.54851,2.19844,1.45031,3.24116,-0.75279,2.78715,0.61805,2.38047,3.77948,3.17218,6.31417,12.29943,10.43623,3.66741,2.52886,2.7735,6.19817,2.75885,11.10961,7.4863,10.06636,3.19766,2.25457,12.70506,1.09191,8.5938,2.20831,8.65649,0.52244,7.49785,6.71231,-0.11455,-0.73904,6.83003,0.31599,10.23164,-0.1331,7.71579,6.71498,9.85728,9.3413,1.93527,4.55087,15.75526,8.48022,6.63053,1.74627,0.54834,0.96485,16.03786,4.08061,7.26041,10.93637,1.15942,6.30867,1.29296,8.46174,5.41083,-0.20283,12.58374,5.04662,9.4766,6.21835,-0.00327,0.41906,0.78365,9.92362,1.31265,2.63378,10.53062,6.98889,7.24599,9.56958,9.73104,10.04617,7.76786,0.29254,2.65148,2.24393,8.6581,6.16905,11.96852,1.12343,7.38233,9.68221,0.94851,1.93676,1.55973,9.53787,3.51562,6.36748,3.83931,6.93445,1.35253,9.35645,7.92621,3.52228,3.99886,0.28539,4.95665,4.8149,10.22006,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-009,2.56832,1.90168,2.21935,2.29456,2.37342,7.98467,3.75255,1.8142,3.13772,1.45029,3.18576,2.26506,0.67573,4.26477,2.19248,3.35857,3.42347,0.20783,0.90867,5.18848,1.51274,1.6689,6.19759,1.32167,3.36616,1.96922,0.39134,3.26395,3.07442,2.37909,1.10659,2.35969,2.15247,8.70246,8.21523,2.95929,2.12257,0.10595,2.47471,-0.14779,5.49783,2.12603,4.07268,0.92735,2.97503,-0.25496,4.07174,2.70261,0.49985,4.80096,0.49198,3.81064,4.07072,0.69323,3.6788,2.53276,2.06486,1.38952,1.06421,6.18162,1.97042,4.51578,1.94745,5.97159,1.38132,4.92356,0.9176,1.75659,4.83586,7.97443,3.39098,2.7449,1.28982,3.07058,2.90856,0.65057,1.2018,2.49209,3.26604,3.85482,3.08616,2.1228,3.69833,1.80326,1.84478,3.04147,0.49952,2.76289,1.78371,2.30241,2.68233,2.39633,6.00328,11.16664,10.28633,2.59682,2.00301,1.96543,6.19677,3.77647,10.05866,7.64063,9.37487,2.10372,3.21486,12.07585,1.26962,7.51631,3.43879,8.5931,0.76457,6.5725,6.07985,0.32687,-0.39369,6.3684,1.17541,10.65795,0.36609,6.63628,5.7816,10.13179,8.22255,1.9666,3.44982,15.38951,8.28066,6.38463,1.86713,0.72077,1.15293,16.17479,3.7811,3.95235,9.45884,1.11118,6.04831,0.84241,9.21404,5.10656,-0.08177,13.00242,5.86037,9.33277,6.47192,0.68524,0.44825,0.36324,8.59713,1.37074,2.15347,10.13982,5.84373,5.7671,8.97904,9.87969,9.40393,11.07153,0.57995,5.66093,1.96948,8.89324,5.56897,11.19723,0.64553,5.73526,8.99549,-0.72756,-0.24205,0.14266,10.41913,4.26499,5.97517,3.9264,6.53976,1.87962,9.2726,6.7132,3.94542,5.82557,1.62347,5.53149,4.03555,9.94623,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-045,2.42967,2.42427,4.76028,1.68087,1.21785,7.29154,6.25269,3.19925,2.73461,1.70542,2.94636,1.66506,0.19759,4.20207,1.4579,3.57488,1.51141,-0.22124,0.68817,5.00814,1.24529,1.2185,4.00416,2.26884,2.80145,2.57664,0.04569,2.63762,2.32071,2.58575,0.85117,3.41744,2.9162,8.19691,8.77541,3.09152,2.75426,1.21021,2.9131,1.57006,3.16008,2.3719,3.82793,0.48021,3.35683,-1.14645,3.87168,1.50434,2.37605,5.31576,0.71772,4.13909,4.24371,0.56415,1.69304,2.22186,3.3503,1.93681,1.48191,6.22511,2.35776,4.01263,3.45308,5.96678,2.89684,5.50819,1.0456,1.41476,4.38465,7.97985,3.47513,3.44773,0.53855,3.3732,2.35878,0.621,0.22827,2.61311,3.14853,4.96814,4.03449,2.37934,3.01954,1.90869,1.70139,3.59709,1.99003,2.98216,1.03499,2.47642,3.10978,3.4962,7.22864,12.29676,10.06572,2.37998,2.15614,2.61381,6.31305,3.00324,10.36574,7.2452,9.9662,1.61939,2.82542,12.97892,1.13402,8.9766,2.64007,8.46272,0.81006,9.28488,6.71971,0.35047,-0.58282,6.10331,0.73828,9.63497,0.23471,7.09897,6.36177,9.99034,8.81503,2.57691,4.34179,16.21873,8.84401,6.09551,1.42444,0.69798,0.76269,14.88758,4.16857,2.80821,9.60754,1.63082,6.43065,1.71008,8.44765,6.28794,-0.16162,13.03444,5.19769,8.85988,7.07884,0.26796,3.5622,0.42455,9.18703,2.10154,2.89187,10.65822,6.59852,6.34771,9.1783,8.45537,11.74363,7.48648,0.11043,2.87733,1.71386,8.87213,6.89617,11.95545,0.32377,6.11675,9.79268,0.11233,-0.26492,0.27338,9.94741,3.58286,7.13656,4.09203,7.39399,1.52946,9.53381,6.92475,3.15409,4.06738,0.76667,6.29244,5.87888,10.15308,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-052,1.69529,1.29342,3.00757,0.90395,1.36879,7.03448,4.32723,1.6516,2.8835,1.29759,2.9057,1.46942,0.32748,4.37327,0.99516,4.03533,1.05425,-0.07457,0.32664,3.63596,1.61322,0.90718,3.12859,1.67448,3.49003,2.3073,-0.5398,1.3979,2.32767,3.05994,1.81817,2.99751,2.94586,9.09929,8.38155,3.12274,1.97127,0.56968,2.40903,0.80488,2.55054,5.47774,4.09691,0.6192,3.37764,-1.9104,3.47269,2.79782,1.18142,5.13157,0.69155,2.62532,3.60452,-0.40077,3.52422,2.53445,3.24923,1.39421,0.63505,5.93206,1.60194,2.67299,1.46269,6.11365,2.07597,5.65271,0.73232,1.4627,3.41856,8.41041,3.07863,3.01752,1.10509,3.80639,2.55819,1.16227,0.5222,2.8522,3.37039,5.51371,3.69544,2.51108,2.24545,2.34329,0.16391,3.56036,1.04816,3.52319,0.86254,2.70187,3.73389,3.19496,6.36346,12.72,9.99977,2.02384,2.34312,2.47912,6.26732,4.26374,10.67792,7.81727,10.03075,1.17861,2.57736,12.27392,1.31099,9.37132,0.98347,8.38778,0.36097,7.16663,6.58716,0.11433,-0.5468,5.0446,0.28073,9.84212,-0.2172,6.09233,6.09648,9.7257,8.83491,2.5862,3.37689,15.31007,8.33838,5.6904,1.63624,0.88692,1.07353,15.75269,4.59627,2.32763,9.56077,0.9466,6.086,0.74935,8.23835,5.36623,-0.12489,13.39853,4.70365,8.68368,6.24636,1.14171,2.0752,0.71225,9.24627,1.52851,2.37269,10.71476,6.16678,5.58273,9.30657,9.76499,10.55189,6.06216,0.06282,1.90522,2.48313,9.12628,4.92998,11.25291,0.50259,8.5527,9.57222,-0.42825,0.051,0.35973,10.19168,3.12017,6.99306,4.28107,6.5017,1.93315,9.44872,7.97816,2.53043,3.13123,0.38225,5.40365,5.58695,9.86718,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-013,1.79753,2.75225,2.68936,0.8633,0.78296,6.451,4.89785,1.62959,3.29889,2.21236,2.62699,0.8204,2.227,4.91273,1.27959,3.93063,1.60668,-0.14924,0.89298,4.76675,1.45074,0.96224,3.53656,1.44154,3.76441,2.19324,0.32693,1.85257,1.99041,2.54831,1.0426,2.48814,3.18923,8.36122,7.90454,2.75677,2.33177,0.10137,1.76919,-0.11234,3.2408,1.87261,3.64661,0.5636,3.34131,-1.09001,4.65309,1.8529,0.71735,5.08938,0.51757,2.59296,4.68482,0.23611,3.20338,1.96586,2.97895,1.17411,1.05657,6.51455,1.89296,3.29244,1.50964,5.9992,1.1087,6.1513,0.97121,1.06842,3.74384,8.56914,2.19167,2.76729,0.80467,3.09131,2.1729,0.87081,0.44073,2.93837,1.86647,3.97434,2.99188,2.39888,4.49156,1.75448,1.17299,3.10178,-0.06832,2.48429,1.23559,2.52448,3.09173,2.61927,7.06997,12.53619,10.18586,2.80035,1.8745,1.97496,6.3472,4.24505,10.65323,7.56462,9.61472,0.90231,1.96117,13.0225,1.30024,7.79051,2.47796,8.08543,0.36693,5.93406,6.48884,0.03382,-0.93614,6.95427,0.61315,10.82122,0.51506,7.91409,5.39049,9.75577,8.53286,2.12398,5.02118,15.11234,8.00502,6.63456,1.41055,2.64538,1.0643,15.79588,3.50504,5.30465,8.512,0.9276,6.03274,0.98231,8.45798,5.25904,-0.16937,13.28979,3.12344,9.28125,6.12273,0.09471,0.06002,0.61059,9.33603,1.32429,2.12193,10.76678,5.85832,6.46467,9.12764,10.03604,9.02797,6.7214,0.3684,2.53911,1.58227,8.97723,6.39507,11.84562,0.5879,5.76618,6.76904,-0.96268,0.59115,0.60954,10.37235,3.34966,5.78147,4.395,6.38162,2.05355,9.59452,6.18079,3.46165,3.79801,1.32205,4.99719,5.07143,10.23676,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-003,3.18975,1.79388,3.31999,0.83877,1.77071,6.48068,6.09267,2.46267,3.16457,1.86524,3.60352,3.51991,0.95974,3.90549,1.62486,3.94152,1.11565,0.37608,0.2823,5.58122,1.6996,1.40132,4.40529,1.47303,3.76078,2.09399,0.11205,2.53288,2.51413,3.38395,1.47542,2.83545,2.61334,8.34674,8.73005,3.62807,3.26058,0.38195,2.00237,-0.53309,2.7178,2.70555,4.30437,0.99977,3.19969,-1.21428,3.60789,2.19555,0.5174,5.44427,0.09229,3.17758,4.93713,-0.06438,2.44873,2.78756,2.19933,0.71969,2.05224,5.76052,3.0273,4.7645,1.42023,6.33191,1.42662,4.88322,1.04054,1.98404,4.27055,7.80922,2.44895,2.37543,1.29633,3.08439,3.00004,0.5846,0.78995,2.71829,3.08413,4.01382,3.93966,2.97544,3.46834,2.56812,1.07723,3.00692,1.74142,3.46308,5.03227,2.61261,3.01631,3.13989,6.61314,11.72132,9.61243,3.2413,1.88864,1.6906,5.90179,3.91247,9.91331,6.80669,10.08617,3.24087,2.16709,12.92983,1.25238,7.39546,2.13173,8.77178,0.76986,6.38516,6.9121,0.25877,0.00752,6.40827,1.06911,10.48911,-0.17095,5.97053,6.11569,10.30695,8.50318,2.30121,4.31861,16.64346,8.70411,6.16117,1.85261,0.83376,1.26521,15.6225,3.83738,6.45042,9.5152,1.24127,6.01206,1.46528,8.47748,5.10499,-0.00867,13.5357,5.03736,9.11867,6.81414,0.57755,0.75443,0.63321,8.75672,0.75717,2.45382,10.34095,5.88901,5.88889,8.86755,9.97787,9.82731,6.77894,0.5123,2.46732,2.15239,8.70872,7.15457,11.22617,0.94773,5.70515,10.47946,-0.49074,0.22443,0.53788,9.84491,3.85284,6.22484,4.28033,7.10402,1.67046,9.46936,6.6468,2.96057,3.54845,4.30738,5.11516,4.96999,10.10016,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-008,1.88066,2.18594,2.38116,1.44259,1.03795,6.39665,4.09122,1.84639,3.54016,1.30886,3.62352,1.59307,0.50209,4.58331,1.09429,3.99908,1.39929,0.13034,0.49581,4.57926,1.59765,1.68388,3.44861,2.22951,2.84892,2.22018,-0.43212,1.9897,2.54654,2.24306,1.10145,2.2451,2.76265,7.42496,8.16567,3.47493,1.80123,-0.09173,2.34801,-0.2845,3.26211,2.05859,4.02028,0.59806,2.46018,-1.62661,4.87043,1.19746,0.87416,4.89804,0.70741,2.83533,4.55428,0.54414,3.05558,2.81751,2.01832,1.20681,0.71187,4.92203,1.42611,2.68607,2.11603,6.0472,1.23718,5.07175,0.97705,0.98782,3.64188,7.88057,3.04659,2.60251,1.04997,3.82457,2.4612,0.64797,0.73336,2.98798,2.93117,4.73128,3.38963,2.61781,2.64961,2.09657,0.7466,3.27893,-0.79147,3.35852,0.81278,2.23387,2.73443,2.93486,6.26608,12.38545,9.79188,2.38639,2.0614,2.0807,6.77126,3.50279,10.34958,7.8702,10.09144,1.41261,2.41989,12.44224,1.65013,7.81319,2.36842,8.50541,0.71342,7.30684,7.12569,0.5534,-0.52574,7.35089,0.4169,10.25875,0.96903,7.18664,6.1609,10.02495,8.33147,2.15522,5.35528,15.74239,8.34005,6.79401,1.43068,0.60969,1.13281,16.01508,3.79123,4.98858,10.59937,0.75167,5.84378,1.05089,8.47403,5.16572,-0.09329,12.41574,5.26183,9.69028,6.871,-0.19097,0.18671,0.4074,10.14854,1.6063,2.01411,10.4671,6.44997,5.94435,8.83982,8.9474,9.01163,6.47302,0.43395,2.59273,2.41018,8.7443,5.45438,11.59346,0.5995,6.59835,7.43929,0.38676,-0.15566,-0.17961,8.07784,3.76584,6.34049,3.93406,6.31885,1.87106,9.47041,8.05054,3.89974,3.72165,0.322,5.37268,4.58615,9.80414,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-055,2.30276,2.14449,2.59984,0.89611,1.33202,5.56158,4.96491,1.89856,3.98051,1.49257,2.26904,4.19187,0.41555,3.37289,1.43784,3.23015,1.46896,0.8274,0.61772,5.05932,1.42523,1.35774,3.22607,1.2498,3.06778,1.82009,0.08248,2.28395,2.20321,3.92903,0.49936,2.59807,1.15196,8.85133,7.58069,3.17972,2.67316,0.24957,1.94566,-0.54759,3.33944,2.04727,3.87645,0.82064,2.93023,-1.09116,3.30183,1.27568,0.84369,5.47549,1.43353,3.24674,5.31761,0.27055,5.55174,3.00798,3.37693,1.6846,1.00201,6.40804,2.55207,3.70709,1.5478,6.02072,1.20575,4.2306,0.96664,1.25165,4.1471,7.73982,3.80097,3.48701,0.92492,2.96487,2.31402,1.18906,1.04758,3.1735,2.7589,3.57623,3.88002,3.29652,2.58626,2.34748,1.22314,1.97286,-0.22341,2.82485,1.37248,2.87403,2.25952,3.56126,6.60709,12.67763,10.31938,2.50304,2.05577,3.05441,6.16312,3.09375,11.73785,7.81275,9.64896,4.04773,2.84064,13.24977,2.42988,8.72221,2.17451,8.01931,0.57054,6.77403,6.56153,1.2581,-0.45545,8.08266,1.08691,10.77801,0.44328,6.83557,5.00886,8.96586,10.77448,2.77156,5.0381,14.9727,7.63986,6.50474,1.95882,1.31879,0.74599,15.24164,4.29017,8.58988,10.39955,1.3895,6.71369,2.3321,9.2296,5.91016,-0.17703,12.195,4.11153,9.63362,7.61135,0.76213,0.75351,0.74742,9.9205,1.85378,2.69133,11.48676,6.04461,6.72751,9.7489,9.83157,10.64597,7.21824,0.58506,2.94911,1.50962,7.76521,5.88094,11.21756,0.96571,6.98665,6.84306,-0.44332,0.01207,0.37052,8.91196,4.21962,5.79486,3.30883,6.8532,2.79662,8.08184,9.37166,2.6388,3.71476,1.28852,5.1894,5.6153,10.63615,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
